MATRICULA;COD_SETOR;COD_CARGO;NIVEL_CARGO;COD STATUS;DATA_INGRESSO;DATA FIM;SALARIO_BASE;ADICIONAIS;ISE 2020;AV DESEMPENHO 2020
7821550699;1;8;1;1;11/01/2019;;4449,2;458;7;7
8632175299;3;20;1;1;31/12/2008;;9679,66;721,07;3;5
7282366399;1;8;1;1;20/12/2019;;4157,95;722,06;5;4
8200685299;6;40;2;1;23/07/2018;;7127,47;458;6;7
7242449199;6;40;2;1;02/06/2017;;7405,44;691,45;6;6
8102054499;5;33;2;1;26/06/2018;;6189;587;6;6
7362109599;6;41;3;1;01/02/1985;;11817,21;458;3;4
8351791699;1;8;3;2;01/09/2008;13/04/2018;7803,45;16,05;;
7851613499;3;20;2;1;28/03/2016;;6837,25;458;4;3
7221506499;5;33;3;1;25/08/2014;;3198,43;458;6;6
7932727899;5;33;3;1;20/12/2012;;4153,96;712,18;6;6
8471520499;3;23;2;1;14/01/2015;;9364,71;685,11;7;4
7671435299;6;40;3;1;16/09/2014;;10846,2;793,63;8;9
7582511899;3;20;2;1;22/03/2017;;7103,91;458;10;8
7941601199;3;20;1;1;03/07/2015;;7103,91;581,6;2;1
7960842599;6;40;3;1;21/02/2013;;7948,71;1100;6;3
8290692499;6;41;2;1;20/06/2014;;8306,11;563,79;6;6
8111158399;3;20;2;1;06/05/2013;;8630,04;458;5;6
7991239199;3;20;1;1;27/11/2014;;7405,44;574,38;7;4
7282401199;3;20;2;1;05/12/2011;;7668,81;1203,58;4;5
8032782699;6;41;2;1;25/06/2015;;7103,91;1542,21;5;3
7351921499;3;20;1;1;01/07/2016;;7694,25;577,28;3;6
8611436199;3;20;3;1;13/12/2010;;10909,9;676,98;10;7
8161758599;1;3;2;1;14/09/2006;;8601,52;690,76;5;4
8630923399;6;41;2;1;25/04/2018;;6333,6;458;10;8
8110756299;6;40;2;1;29/12/1994;;15265,97;678,84;8;6
8222152499;6;41;2;1;07/05/2018;;7127,47;1002,58;5;4
